"","Year","Lg","Tm","W","L","T","Playoffs","PF","PA","PD","Coaches","AV","Passer","Rusher","Receiver","oPts","oYds","dPts","dYds","T.G","PtsOvr","YdsOvr","out.of","MoV","SoS","SRS","OSRS","DSRS","TM","TID","c1","c2","p.Year","p.Lg","p.Tm","p.W","p.L","p.T","p.Playoffs","p.PF","p.PA","p.PD","p.Coaches","p.AV","p.Passer","p.Rusher","p.Receiver","p.oPts","p.oYds","p.dPts","p.dYds","p.T.G","p.PtsOvr","p.YdsOvr","p.out.of","p.MoV","p.SoS","p.SRS","p.OSRS","p.DSRS","p.TM","p.TID","p.c1","p.c2","fired.mid","nc","fired","start","cwins","closs","cties","wc","cc","dc","lsb","poffs","playwin","playloss","pmade","sb","cpw","cpl","post","rings","years","ap","twc","tdc","tcc","tlsb","d.Year","d.W","d.L","d.T","d.PF","d.PA","d.PD","d.oPts","d.oYds","d.dPts","d.dYds","d.T.G","d.PtsOvr","d.YdsOvr","d.out.of","d.MoV","d.SoS","d.SRS","d.OSRS","d.DSRS","win.p","p.win.p","d.win.p","v.win.p","c.win.p","pp","dpm","OPTS","OYDS","DPTS","DYDS","TO","PTSO","YDSO","pmz","postz","dpost","qb1","rb1","wr1","zc","y1","y2","y3","y4","y5","y6","y7","gm","gm1","gm2","l.post","mp","dp","cdp","dp5","dp3","dp2","champ","apy","cpwy","wcy","dcy","ccy","lsby","ringsy","apy1"
"324",2006,"NFL","Cleveland Browns",4,12,0,"",238,356,-118,"Crennel","Wimbley","Frye","Droughns","Edwards",30,31,22,27,31,30,32,32,-7.4,1.5,-5.8,-4.5,-1.3,"cle",12,"Crennel","",2005,"NFL","Cleveland Browns",6,10,0,"",232,301,-69,"Crennel","Droughns","Dilfer","Droughns","Bryant",32,26,11,16,23,22,26,32,-4.3,0.1,-4.2,-6,1.7,"cle",12,"Crennel","",0,"Crennel",0,0,10,22,0,0,0,-12,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,-2,2,0,6,55,-49,-2,5,11,11,8,8,6,0,-3.1,1.4,-1.6,1.5,-3,0.25,0.375,-0.125,0.4,0.3125,0,-2,0.9375,0.96875,0.6875,0.84375,0.96875,0.9375,1,-0.25,0,0,1,0,1,-2.12132034355964,0,1,0,0,0,0,0,"Phil Savage",0,1,2,1,0,0.0625,0,0,0,0,0,0,0,0,0,0,0,0
"325",2007,"NFL","Cleveland Browns",10,6,0,"",402,382,20,"Crennel","Anderson","Anderson","Lewis","Edwards",8,8,21,30,19,14,20,32,1.3,-2.3,-1.1,2.2,-3.3,"cle",12,"Crennel","",2006,"NFL","Cleveland Browns",4,12,0,"",238,356,-118,"Crennel","Wimbley","Frye","Droughns","Edwards",30,31,22,27,31,30,32,32,-7.4,1.5,-5.8,-4.5,-1.3,"cle",12,"Crennel","",0,"Crennel",0,0,20,28,0,0,0,-8,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,6,-6,0,164,26,138,-22,-23,-1,3,-12,-16,-12,0,8.7,-3.8,4.7,6.7,-2,0.625,0.25,0.375,0.3,0.416666666666667,0,-3,0.25,0.25,0.65625,0.9375,0.59375,0.4375,0.625,-0.166666666666667,0,0,1,1,0,-1.15470053837925,0,0,1,0,0,0,0,"Phil Savage",0,1,3,1,0.375,0.166666666666667,0.375,0.375,0.25,0,0,0,0,0,0,0,0,0
"326",2008,"NFL","Cleveland Browns",4,12,0,"",232,350,-118,"Crennel","Rogers","Anderson","Lewis","Edwards",30,31,16,26,8,27,31,32,-7.4,2.7,-4.6,-5.2,0.6,"cle",12,"Crennel","",2007,"NFL","Cleveland Browns",10,6,0,"",402,382,20,"Crennel","Anderson","Anderson","Lewis","Edwards",8,8,21,30,19,14,20,32,1.3,-2.3,-1.1,2.2,-3.3,"cle",12,"Crennel","",0,"Mangini",1,0,24,40,0,0,0,-16,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,-6,6,0,-170,-32,-138,22,23,-5,-4,-11,13,11,0,-8.7,5,-3.5,-7.4,3.9,0.25,0.625,-0.375,0.6,0.375,0,-4,0.9375,0.96875,0.5,0.8125,0.25,0.84375,0.96875,-0.125,0,0,0,0,0,-2,0,0,0,1,0,0,0,"Phil Savage",0,1,4,1,0,0.125,0,-0.125,0,0,0,0,0,0,0,0,0,0
"327",2009,"NFL","Cleveland Browns",5,11,0,"",245,375,-130,"Mangini","Thomas","Quinn","Harrison","Massaquoi",29,32,21,31,29,27,32,32,-8.1,-0.3,-8.4,-6,-2.4,"cle",12,"Mangini","",2008,"NFL","Cleveland Browns",4,12,0,"",232,350,-118,"Crennel","Rogers","Anderson","Lewis","Edwards",30,31,16,26,8,27,31,32,-7.4,2.7,-4.6,-5.2,0.6,"cle",12,"Crennel","",0,"Mangini",0,1,5,11,0,0,0,-6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,-1,0,13,25,-12,-1,1,5,5,21,0,1,0,-0.699999999999999,-3,-3.8,-0.8,-3,0.3125,0.25,0.0625,0.3,0.3125,0,-1,0.90625,1,0.65625,0.96875,0.90625,0.84375,1,-0.5,0,0,1,1,1,-1.5,1,0,0,0,0,0,0,"George Kokinis",0,1,1,1,0.0625,0.0625,0.0625,0.0625,0.0625,0,0,0,0,0,0,0,0,0
"328",2010,"NFL","Cleveland Browns",5,11,0,"",271,332,-61,"Mangini","Thomas","McCoy","Hillis","Watson",31,29,13,22,15,23,28,32,-3.8,2.3,-1.5,-3.4,2,"cle",12,"Mangini","",2009,"NFL","Cleveland Browns",5,11,0,"",245,375,-130,"Mangini","Thomas","Quinn","Harrison","Massaquoi",29,32,21,31,29,27,32,32,-8.1,-0.3,-8.4,-6,-2.4,"cle",12,"Mangini","",0,"Shurmur",1,0,10,22,0,0,0,-12,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,26,-43,69,2,-3,-8,-9,-14,-4,-4,0,4.3,2.6,6.9,2.6,4.4,0.3125,0.3125,0,0.35,0.3125,0,-2,0.96875,0.90625,0.40625,0.6875,0.46875,0.71875,0.875,-0.25,0,0,1,1,1,-2.12132034355964,0,1,0,0,0,0,0,"Tom Heckert",1,1,2,1,0.0625,0.0625,0.0625,0.0625,0.0625,0,0,0,0,0,0,0,0,0
"329",2011,"NFL","Cleveland Browns",4,12,0,"",218,307,-89,"Shurmur","Thomas","McCoy","Hillis","Little",30,29,5,10,13,27,28,32,-5.6,0.2,-5.4,-7.2,1.8,"cle",12,"Shurmur","",2010,"NFL","Cleveland Browns",5,11,0,"",271,332,-61,"Mangini","Thomas","McCoy","Hillis","Watson",31,29,13,22,15,23,28,32,-3.8,2.3,-1.5,-3.4,2,"cle",12,"Mangini","",0,"Shurmur",0,1,4,12,0,0,0,-8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,-1,1,0,-53,-25,-28,-1,0,-8,-12,-2,4,0,0,-1.8,-2.1,-3.9,-3.8,-0.2,0.25,0.3125,-0.0625,0.35,0.25,0,-1,0.9375,0.90625,0.15625,0.3125,0.40625,0.84375,0.875,-0.5,0,0,0,0,1,-2,1,0,0,0,0,0,0,"Tom Heckert",0,1,1,1,-0.0625,-0.0625,-0.0625,-0.0625,-0.0625,0,0,0,0,0,0,0,0,0
"330",2012,"NFL","Cleveland Browns",5,11,0,"",302,368,-66,"Shurmur","Thomas","Weeden","Richardson","Gordon",24,25,19,23,12,24,29,32,-4.1,-1.2,-5.3,-4.6,-0.7,"cle",12,"Shurmur","",2011,"NFL","Cleveland Browns",4,12,0,"",218,307,-89,"Shurmur","Thomas","McCoy","Hillis","Little",30,29,5,10,13,27,28,32,-5.6,0.2,-5.4,-7.2,1.8,"cle",12,"Shurmur","",0,"Chudzinski",1,0,9,23,0,0,0,-14,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,-1,0,84,61,23,-6,-4,14,13,-1,-3,1,0,1.5,-1.4,0.100000000000001,2.6,-2.5,0.3125,0.25,0.0625,0.3,0.28125,0,-2,0.75,0.78125,0.59375,0.71875,0.375,0.75,0.90625,-0.25,0,0,1,1,1,-2.47487373415292,0,1,0,0,0,0,0,"Tom Heckert",0,1,2,1,0,-0.03125,0,0,0,0,0,0,0,0,0,0,0,0
"331",2013,"NFL","Cleveland Browns",4,12,0,"",308,406,-98,"Chudzinski","Gordon","Campbell","McGahee","Gordon",27,18,23,9,25,27,15,32,-6.1,-1.6,-7.7,-4.8,-2.9,"cle",12,"Chudzinski","",2012,"NFL","Cleveland Browns",5,11,0,"",302,368,-66,"Shurmur","Thomas","Weeden","Richardson","Gordon",24,25,19,23,12,24,29,32,-4.1,-1.2,-5.3,-4.6,-0.7,"cle",12,"Shurmur","",0,"Pettine",1,1,4,12,0,0,0,-8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,-1,1,0,6,38,-32,3,-7,4,-14,13,3,-14,0,-2,-0.4,-2.4,-0.2,-2.2,0.25,0.3125,-0.0625,0.35,0.25,0,-1,0.84375,0.5625,0.71875,0.28125,0.78125,0.84375,0.46875,-0.5,0,0,1,1,0,-2,1,0,0,0,0,0,0,"Michael Lombardi",0,1,1,1,-0.0625,-0.0625,-0.0625,-0.0625,-0.0625,0,0,0,0,0,0,0,0,0
"332",2014,"NFL","Cleveland Browns",7,9,0,"",299,337,-38,"Pettine","Thomas","Hoyer","West","Hawkins",27,23,9,23,9,25,26,32,-2.4,-1.5,-3.9,-4.8,0.9,"cle",12,"Pettine","",2013,"NFL","Cleveland Browns",4,12,0,"",308,406,-98,"Chudzinski","Gordon","Campbell","McGahee","Gordon",27,18,23,9,25,27,15,32,-6.1,-1.6,-7.7,-4.8,-2.9,"cle",12,"Chudzinski","",0,NA,0,1,7,9,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,-3,0,-9,-69,60,0,5,-14,14,-16,-2,11,0,3.7,0.1,3.8,0,3.8,0.4375,0.25,0.1875,0.3,0.4375,0,-1,0.84375,0.71875,0.28125,0.71875,0.28125,0.78125,0.8125,-0.5,0,0,1,1,1,-0.5,1,0,0,0,0,0,0,"Ray Farmer",0,1,1,1,0.1875,0.1875,0.1875,0.1875,0.1875,0,0,0,0,0,0,0,0,0
"363",1983,"NFL","Baltimore Colts",7,9,0,"",264,354,-90,"Kush","Dickey","Pagel","Dickey","Dickey",26,21,19,23,11,25,22,28,-5.6,-1.2,-6.9,-4.1,-2.7,"clt",21,"Kush","",1982,"NFL","Baltimore Colts",0,8,1,"",113,236,-123,"Kush","Pagel","Pagel","McMillan","Bouza",28,27,26,26,27,28,27,28,-13.7,4.8,-8.8,-6.1,-2.7,"clt",21,"Kush","",0,"Kush,Hunter",0,0,7,17,1,0,0,-10,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,7,1,-1,151,118,33,-2,-6,-7,-3,-16,-3,-5,0,8.1,-6,1.9,2,0,0.4375,0.0555555555555556,0.381944444444444,0.144444444444444,0.3,0,-2,0.928571428571429,0.75,0.678571428571429,0.821428571428571,0.392857142857143,0.892857142857143,0.785714285714286,-0.25,0,0,0,1,1,-2,0,1,0,0,0,0,0,"Ernie Accorsi",0,1,2,1,0.3125,0.175,0.3125,0.3125,0.3125,0,0,0,0,0,0,0,0,0
"364",1984,"NFL","Indianapolis Colts",4,12,0,"",239,414,-175,"Kush,Hunter","Krauss","Pagel","McMillan","Butler",28,28,25,22,20,25,27,28,-10.9,-0.2,-11.1,-7.4,-3.7,"clt",21,NA,NA,1983,"NFL","Baltimore Colts",7,9,0,"",264,354,-90,"Kush","Dickey","Pagel","Dickey","Dickey",26,21,19,23,11,25,22,28,-5.6,-1.2,-6.9,-4.1,-2.7,"clt",21,"Kush","",1,"Dowhower",1,0,11,29,1,0,0,-18,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,-3,3,0,-25,60,-85,2,7,6,-1,9,0,5,0,-5.3,1,-4.2,-3.3,-1,0.25,0.4375,-0.1875,0.45,0.280487804878049,0,-3,1,1,0.892857142857143,0.785714285714286,0.714285714285714,0.892857142857143,0.964285714285714,-0.166666666666667,0,0,0,1,1,-2.81112771399491,0,0,1,0,0,0,0,"James Irsay",1,1,3,1,0.125,0.155487804878049,0.125,0.125,0.125,0,0,0,0,0,0,0,0,0
"365",1985,"NFL","Indianapolis Colts",5,11,0,"",320,386,-66,"Dowhower","Hinton","Pagel","McMillan","Capers",17,19,21,19,14,22,21,28,-4.1,1.5,-2.6,-0.3,-2.4,"clt",21,"Dowhower","",1984,"NFL","Indianapolis Colts",4,12,0,"",239,414,-175,"Kush,Hunter","Krauss","Pagel","McMillan","Butler",28,28,25,22,20,25,27,28,-10.9,-0.2,-11.1,-7.4,-3.7,"clt",21,"Kush","Hunter",0,"Meyer,Dowhower",0,1,5,11,0,0,0,-6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,-1,0,81,-28,109,-11,-9,-4,-3,-6,-3,-6,0,6.8,1.7,8.5,7.1,1.3,0.3125,0.25,0.0625,0.3,0.3125,0,-1,0.607142857142857,0.678571428571429,0.75,0.678571428571429,0.5,0.785714285714286,0.75,-0.5,0,0,0,0,1,-1.5,1,0,0,0,0,0,0,"James Irsay",0,1,1,1,0.0625,0.0625,0.0625,0.0625,0.0625,0,0,0,0,0,0,0,0,0
"366",1986,"NFL","Indianapolis Colts",3,13,0,"",229,400,-171,"Meyer,Dowhower","Hinton","Trudeau","McMillan","Brooks",27,22,25,25,21,27,27,28,-10.7,0.3,-10.4,-6.6,-3.8,"clt",21,"Dowhower","Meyer",1985,"NFL","Indianapolis Colts",5,11,0,"",320,386,-66,"Dowhower","Hinton","Pagel","McMillan","Capers",17,19,21,19,14,22,21,28,-4.1,1.5,-2.6,-0.3,-2.4,"clt",21,"Dowhower","",1,"Meyer",1,0,8,24,0,0,0,-16,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,-2,2,0,-91,14,-105,10,3,4,6,7,5,6,0,-6.6,-1.2,-7.8,-6.3,-1.4,0.1875,0.3125,-0.125,0.35,0.25,0,-2,0.964285714285714,0.785714285714286,0.892857142857143,0.892857142857143,0.75,0.964285714285714,0.964285714285714,-0.25,0,0,1,0,1,-2.82842712474619,0,1,0,0,0,0,0,"James Irsay",0,1,2,1,-0.0625,0,-0.0625,-0.0625,-0.0625,0,0,0,0,0,0,0,0,0
"367",1987,"NFL","Indianapolis Colts*",9,6,0,"Lost Div",300,238,62,"Meyer","Bickett","Trudeau","Dickerson","Brooks",18,13,1,6,4,7,9,28,4.1,0.1,4.3,-1.3,5.5,"clt",21,"Meyer","",1986,"NFL","Indianapolis Colts",3,13,0,"",229,400,-171,"Meyer,Dowhower","Hinton","Trudeau","McMillan","Brooks",27,22,25,25,21,27,27,28,-10.7,0.3,-10.4,-6.6,-3.8,"clt",21,"Meyer","Dowhower",0,"Meyer",0,1,9,6,0,0,0,3,0,2,1,1,1,0,1,1,1,0,1,2,0,1,0,0,1,6,-7,0,71,-162,233,-9,-9,-24,-19,-17,-20,-18,0,14.8,-0.2,14.7,5.3,9.3,0.6,0.1875,0.4125,0.25,0.6,1,1,0.642857142857143,0.464285714285714,0.0357142857142857,0.214285714285714,0.142857142857143,0.25,0.321428571428571,0.5,0,1,0,1,0,0.774596669241483,1,0,0,0,0,0,0,"James Irsay",0,1,0,1,0.4125,0.4125,0.4125,0.4125,0.4125,0,2,1,1,1,0,0,0,2.1
"368",1988,"NFL","Indianapolis Colts",9,7,0,"",354,315,39,"Meyer","Dickerson","Chandler","Dickerson","Brooks",9,21,11,17,9,10,23,28,2.4,0.8,3.2,2.9,0.3,"clt",21,"Meyer","",1987,"NFL","Indianapolis Colts*",9,6,0,"Lost Div",300,238,62,"Meyer","Bickett","Trudeau","Dickerson","Brooks",18,13,1,6,4,7,9,28,4.1,0.1,4.3,-1.3,5.5,"clt",21,"Meyer","",0,"Meyer",0,0,18,13,0,0,0,5,0,0,0,0,0,0,1,1,1,0,2,2,0,1,0,0,1,0,1,0,54,77,-23,-9,8,10,11,5,3,14,0,-1.7,0.7,-1.1,4.2,-5.2,0.5625,0.6,-0.0375,0.58,0.580645161290323,0.5,0,0.321428571428571,0.75,0.392857142857143,0.607142857142857,0.321428571428571,0.357142857142857,0.821428571428571,0,0,0,1,0,0,0.898026510133875,0,1,0,0,0,0,0,"James Irsay",0,1,1,1,0.375,0.393145161290323,0.375,0.375,0.375,0,1,0.5,0.5,0.5,0,0,0,1.05
"369",1989,"NFL","Indianapolis Colts",8,8,0,"",298,301,-3,"Meyer","Bickett","Trudeau","Dickerson","Brooks",20,23,11,22,5,15,23,28,-0.2,-0.3,-0.5,-2.7,2.2,"clt",21,"Meyer","",1988,"NFL","Indianapolis Colts",9,7,0,"",354,315,39,"Meyer","Dickerson","Chandler","Dickerson","Brooks",9,21,11,17,9,10,23,28,2.4,0.8,3.2,2.9,0.3,"clt",21,"Meyer","",0,"Meyer",0,0,26,21,0,0,0,5,0,0,0,0,0,0,1,1,1,0,3,2,0,1,0,0,1,-1,1,0,-56,-14,-42,11,2,0,5,-4,5,0,0,-2.6,-1.1,-3.7,-5.6,1.9,0.5,0.5625,-0.0625,0.55,0.553191489361702,0.333333333333333,-1,0.714285714285714,0.821428571428571,0.392857142857143,0.785714285714286,0.178571428571429,0.535714285714286,0.821428571428571,-0.0555555555555556,0,0,1,0,0,0.729324957489473,0,0,1,0,0,0,0,"James Irsay",0,0,2,1,0.3125,0.365691489361702,0.3125,0.3125,-0.1,0,0.666666666666667,0.333333333333333,0.333333333333333,0.333333333333333,0,0,0,0.7
"370",1990,"NFL","Indianapolis Colts",7,9,0,"",281,353,-72,"Meyer","Bentley","George","Dickerson","Hester",21,27,20,26,24,23,27,28,-4.5,0.6,-3.9,-2.7,-1.2,"clt",21,"Meyer","",1989,"NFL","Indianapolis Colts",8,8,0,"",298,301,-3,"Meyer","Bickett","Trudeau","Dickerson","Brooks",20,23,11,22,5,15,23,28,-0.2,-0.3,-0.5,-2.7,2.2,"clt",21,"Meyer","",0,"Venturi,Meyer",0,0,33,30,0,0,0,3,0,0,0,0,0,0,1,1,1,0,4,2,0,1,0,0,1,-1,1,0,-17,52,-69,1,4,9,4,19,8,4,0,-4.3,0.9,-3.4,0,-3.4,0.4375,0.5,-0.0625,0.5,0.523809523809524,0.25,-2,0.75,0.964285714285714,0.714285714285714,0.928571428571429,0.857142857142857,0.821428571428571,0.964285714285714,-0.0625,0,0,1,0,1,0.377964473009228,0,0,0,1,0,0,0,"James Irsay",0,0,3,1,0.25,0.336309523809524,0.25,-0.1625,-0.125,0,0.5,0.25,0.25,0.25,0,0,0,0.525
"371",1991,"NFL","Indianapolis Colts",1,15,0,"",143,381,-238,"Venturi,Meyer","Hand","George","Dickerson","Brooks",28,28,26,20,19,28,28,28,-14.9,-2.4,-17.3,-11.5,-5.7,"clt",21,"Meyer","Venturi",1990,"NFL","Indianapolis Colts",7,9,0,"",281,353,-72,"Meyer","Bentley","George","Dickerson","Hester",21,27,20,26,24,23,27,28,-4.5,0.6,-3.9,-2.7,-1.2,"clt",21,"Meyer","",1,"Marchibroda",1,0,34,45,0,0,0,-11,0,0,0,0,0,0,1,1,1,0,5,2,0,1,0,0,1,-6,6,0,-138,28,-166,7,1,6,-6,-5,5,1,0,-10.4,-3,-13.4,-8.8,-4.5,0.0625,0.4375,-0.375,0.45,0.430379746835443,0.2,-3,1,1,0.928571428571429,0.714285714285714,0.678571428571429,1,1,-0.06,0,0,0,0,1,-1.23759669101863,0,0,0,0,1,0,0,"James Irsay",0,0,4,1,-0.125,0.242879746835443,-0.125,-0.125,-0.125,0,0.4,0.2,0.2,0.2,0,0,0,0.42
"372",1992,"NFL","Indianapolis Colts",9,7,0,"",216,302,-86,"Marchibroda","Banks","George","Johnson","Langhorne",26,24,16,21,15,21,25,28,-5.4,-1.6,-7,-6,-1,"clt",21,"Marchibroda","",1991,"NFL","Indianapolis Colts",1,15,0,"",143,381,-238,"Venturi,Meyer","Hand","George","Dickerson","Brooks",28,28,26,20,19,28,28,28,-14.9,-2.4,-17.3,-11.5,-5.7,"clt",21,"Venturi","Meyer",0,"Marchibroda",0,1,9,7,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,8,-8,0,73,-79,152,-2,-4,-10,1,-4,-7,-3,0,9.5,0.8,10.3,5.5,4.7,0.5625,0.0625,0.5,0.15,0.5625,0,-1,0.928571428571429,0.857142857142857,0.571428571428571,0.75,0.535714285714286,0.75,0.892857142857143,-0.5,0,-1,0,1,1,0.5,1,0,0,0,0,0,0,"James Irsay",0,0,1,1,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0
"373",1993,"NFL","Indianapolis Colts",4,12,0,"",189,378,-189,"Marchibroda","Langhorne","George","Potts","Langhorne",27,22,27,28,25,28,24,28,-11.8,0.5,-11.3,-6.2,-5.1,"clt",21,"Marchibroda","",1992,"NFL","Indianapolis Colts",9,7,0,"",216,302,-86,"Marchibroda","Banks","George","Johnson","Langhorne",26,24,16,21,15,21,25,28,-5.4,-1.6,-7,-6,-1,"clt",21,"Marchibroda","",0,"Marchibroda",0,0,13,19,0,0,0,-6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,-5,5,0,-27,76,-103,1,-2,11,7,10,7,-1,0,-6.4,2.1,-4.3,-0.2,-4.1,0.25,0.5625,-0.3125,0.55,0.40625,0,-2,0.964285714285714,0.785714285714286,0.964285714285714,1,0.892857142857143,1,0.857142857142857,-0.25,0,0,0,1,0,-1.06066017177982,0,1,0,0,0,0,0,"James Irsay",0,0,2,1,0.1875,0.34375,0.1875,0.1875,0.1875,0,0,0,0,0,0,0,0,0
"374",1994,"NFL","Indianapolis Colts",8,8,0,"",307,320,-13,"Marchibroda","Faulk","Harbaugh","Faulk","Dawkins",18,27,14,20,18,13,28,28,-0.8,-0.7,-1.5,-1.3,-0.2,"clt",21,"Marchibroda","",1993,"NFL","Indianapolis Colts",4,12,0,"",189,378,-189,"Marchibroda","Langhorne","George","Potts","Langhorne",27,22,27,28,25,28,24,28,-11.8,0.5,-11.3,-6.2,-5.1,"clt",21,"Marchibroda","",0,"Marchibroda",0,0,21,27,0,0,0,-6,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,4,-4,0,118,-58,176,-9,5,-13,-8,-7,-15,4,0,11,-1.2,9.8,4.9,4.9,0.5,0.25,0.25,0.3,0.4375,0,-3,0.642857142857143,0.964285714285714,0.5,0.714285714285714,0.642857142857143,0.464285714285714,1,-0.166666666666667,0,0,1,1,1,-0.866025403784439,0,0,1,0,0,0,0,"Bill Tobin",1,1,3,1,0.4375,0.375,0.4375,0.4375,-0.0625,0,0,0,0,0,0,0,0,0
"375",1995,"NFL","Indianapolis Colts*",9,7,0,"Lost Conf",331,316,15,"Marchibroda","Faulk","Harbaugh","Faulk","Dawkins",17,22,5,7,7,13,17,30,0.9,-2.3,-1.3,-1.7,0.4,"clt",21,"Marchibroda","",1994,"NFL","Indianapolis Colts",8,8,0,"",307,320,-13,"Marchibroda","Faulk","Harbaugh","Faulk","Dawkins",18,27,14,20,18,13,28,28,-0.8,-0.7,-1.5,-1.3,-0.2,"clt",21,"Marchibroda","",0,"Infante",0,0,30,34,0,0,1,-4,0,3,2,1,1,0,2,1,1,0,4,3,0,0,1,0,1,1,-1,0,24,-4,28,-1,-5,-9,-13,-11,0,-11,2,1.7,-1.6,0.2,-0.4,0.6,0.5625,0.5,0.0625,0.5,0.46875,0.25,-2,0.566666666666667,0.733333333333333,0.166666666666667,0.233333333333333,0.233333333333333,0.433333333333333,0.566666666666667,-0.0625,0.0240562612162344,1,0,0,0,-0.5,0,0,0,1,0,0,0,"Bill Tobin",1,1,0,1,0.5,0.40625,0.5,0,0.3125,0,0.75,0.5,0.25,0.25,0.25,0,0,1.275
"376",1996,"NFL","Indianapolis Colts*",9,7,0,"Lost WC",317,334,-17,"Infante","Harbaugh","Harbaugh","Faulk","Harrison",16,25,18,22,17,17,25,30,-1.1,-0.6,-1.6,-1.8,0.2,"clt",21,"Infante","",1995,"NFL","Indianapolis Colts*",9,7,0,"Lost Conf",331,316,15,"Marchibroda","Faulk","Harbaugh","Faulk","Dawkins",17,22,5,7,7,13,17,30,0.9,-2.3,-1.3,-1.7,0.4,"clt",21,"Marchibroda","",0,"Infante",0,1,9,7,0,1,0,2,0,1,0,1,1,0,0,1,1,0,1,1,1,0,0,0,1,0,0,0,-14,18,-32,-1,3,13,15,10,4,8,0,-2,1.7,-0.3,-0.1,-0.2,0.5625,0.5625,0,0.55,0.5625,1,1,0.533333333333333,0.833333333333333,0.6,0.733333333333333,0.566666666666667,0.566666666666667,0.833333333333333,0.5,-0.125,0,0,0,1,0.5,1,0,0,0,0,0,0,"Bill Tobin",0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0.1
"377",1997,"NFL","Indianapolis Colts",3,13,0,"",313,401,-88,"Infante","Faulk","Harbaugh","Faulk","Harrison",20,19,26,10,19,24,12,30,-5.5,1.2,-4.3,-0.6,-3.8,"clt",21,"Infante","",1996,"NFL","Indianapolis Colts*",9,7,0,"Lost WC",317,334,-17,"Infante","Harbaugh","Harbaugh","Faulk","Harrison",16,25,18,22,17,17,25,30,-1.1,-0.6,-1.6,-1.8,0.2,"clt",21,"Infante","",0,"Mora",1,0,12,20,0,0,0,-8,0,0,0,0,0,0,0,1,1,0,2,1,1,0,0,0,1,-6,6,0,-4,67,-71,4,-6,8,-12,2,7,-13,0,-4.4,1.8,-2.7,1.2,-4,0.1875,0.5625,-0.375,0.55,0.375,0.5,0,0.666666666666667,0.633333333333333,0.866666666666667,0.333333333333333,0.633333333333333,0.8,0.4,0,-0.125,0,0,0,0,-1.4142135623731,0,1,0,0,0,0,0,"Bill Polian",1,1,1,1,-0.375,-0.1875,-0.375,-0.375,-0.375,0,0.5,0,0.5,0,0,0,0,0.05
"378",1998,"NFL","Indianapolis Colts",3,13,0,"",310,444,-134,"Mora","Faulk","Manning","Faulk","Faulk",19,12,29,29,29,28,24,30,-8.4,3,-5.4,-0.1,-5.3,"clt",21,"Mora","",1997,"NFL","Indianapolis Colts",3,13,0,"",313,401,-88,"Infante","Faulk","Harbaugh","Faulk","Harrison",20,19,26,10,19,24,12,30,-5.5,1.2,-4.3,-0.6,-3.8,"clt",21,"Infante","",0,"Mora",0,1,3,13,0,0,0,-10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,-3,43,-46,-1,-7,3,19,10,4,12,0,-2.9,1.8,-1.1,0.5,-1.5,0.1875,0.1875,0,0.25,0.1875,0,-1,0.633333333333333,0.4,0.966666666666667,0.966666666666667,0.966666666666667,0.933333333333333,0.8,-0.5,0,-1,1,0,1,-2.5,1,0,0,0,0,0,0,"Bill Polian",0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
